Serial No,Month,Ward,Ward No,Measure 1,Measure 2,Measure 3,Measure 4,Measure 5,Measure 6,Measure 7,Measure 8
76,Oct,1,B1,4,5,5,5,4,4,4,3
80,Oct,1,B1,4,5,5,5,4,4,4,3
75,Oct,1,B1,4,5,5,5,4,4,4,3
128,Oct,1,B1,4,5,5,5,3,4,4,3
45,Oct,1,B1,4,5,5,5,4,4,4,3
12,Oct,1,B1,4,5,5,5,4,4,4,3
88,Oct,1,B1,4,5,5,5,4,4,4,4
79,Oct,1,B1,4,5,5,5,5,4,4,3
74,Oct,1,B1,4,5,5,5,4,4,4,3
53,Oct,1,A,4,5,5,5,4,4,4,3
143,Oct,1,A,4,5,5,5,4,3,4,4
40,Oct,1,A,4,5,5,5,5,3,4,4
25,Oct,1,A,4,5,5,5,4,2,4,4
52,Oct,1,A,4,5,5,5,4,4,4,3
60,Oct,1,A,5,5,5,5,5,5,5,5
102,Nov,2,B2,5,5,5,5,4,4,4,0
108,Nov,2,B2,5,5,5,5,4,4,4,0
90,Nov,2,B2,5,5,5,5,4,4,5,0
88,Nov,2,B2,5,5,5,5,4,4,4,0
117,Nov,2,B2,5,5,5,5,5,4,4,0
118,Nov,2,B2,4,5,5,5,4,4,4,0
85,Nov,2,B2,5,5,5,5,4,4,4,0
107,Nov,2,B2,5,5,5,5,4,4,4,0
106,Nov,2,B2,5,5,5,5,4,4,4,0
84,Nov,2,B2,5,5,5,5,4,4,4,0
97,Nov,2,B2,5,5,5,5,4,4,4,0
96,Nov,2,B2,5,5,5,5,4,4,4,0
105,Nov,2,B2,5,5,5,5,4,4,4,0
116,Nov,2,B2,3,5,5,5,4,4,4,0
100,Nov,2,B2,4,5,5,5,4,4,4,0
101,Nov,2,B2,4,5,5,5,4,4,4,0
115,Nov,2,B2,5,5,5,5,5,4,4,0
109,Nov,2,B2,5,5,5,5,5,4,4,0
129,Nov,2,C,5,5,5,5,5,4,4,0
128,Nov,2,C,5,5,5,5,5,4,4,0
124,Nov,2,C,5,5,5,5,5,4,4,0
123,Nov,2,C,5,5,5,5,5,4,4,0
122,Nov,2,C,5,5,5,5,5,4,4,0
121,Nov,2,C,5,5,5,5,5,4,4,0
86,Nov,2,C,5,5,5,5,5,5,5,0
157,Nov,2,C,5,5,5,5,5,4,4,0
120,Nov,2,C,5,5,5,5,4,4,4,0
113,Nov,2,C,3,5,5,5,4,3,3,0
89,Nov,2,C,5,5,5,5,4,4,4,0
92,Nov,2,C,5,5,5,5,4,4,4,0
127,Nov,2,C,5,5,5,5,5,5,5,0
57,Nov,2,C,3,5,5,5,4,4,4,0
95,Nov,2,C,5,5,5,5,5,4,4,0
104,Nov,2,C,5,5,5,5,5,4,4,0
144,Nov,2,C,5,5,5,5,5,4,4,0
94,Nov,2,C,5,5,5,5,5,4,4,0
93,Nov,2,C,5,5,5,5,5,4,4,0
112,Nov,2,C,5,5,5,5,5,4,4,0
119,Nov,2,C,5,5,5,5,5,4,4,0
146,Nov,2,C,5,5,5,5,3,3,4,0
87,Nov,2,C,5,5,5,5,5,4,4,0
126,Nov,2,C,5,5,5,5,5,4,4,0
154,Nov,2,C,5,5,5,5,5,3,3,0
80,Nov,2,C,5,5,5,5,5,3,3,0
91,Nov,2,C,5,5,5,5,5,4,4,0
103,Nov,2,C,5,5,5,5,5,4,4,0
114,Nov,2,C,4,5,5,5,5,4,4,0
125,Nov,2,C,5,5,5,5,5,4,4,0
99,Nov,2,C,5,5,5,5,5,3,4,0
51,Nov,2,C,4,5,5,5,3,3,4,0
98,Nov,2,C,5,5,5,5,5,4,4,0
111,Nov,2,B2,5,5,5,5,5,4,5,0
82,Nov,2,C,5,5,5,5,5,3,4,0
110,Nov,2,C,5,5,5,5,5,3,4,0
145,Nov,2,C,4,4,5,5,4,2,3,0
