"","Planning Area","Subzone","Planning Region","Total","young","old","Economically Active","% Young","% Old","% Economically Active","Year"
"165","Museum","Dhoby Ghaut","Central Region",220,20,10,160,10.5257618020104,5.26288090100521,84.2060944160834,2017
"166","Museum","Fort Canning","Central Region",180,50,10,120,27.7762346536304,5.55524693072607,66.6629631687128,2017
"167","Newton","Cairnhill","Central Region",3520,940,500,2100,26.5535973062223,14.1242538862885,59.3218663224115,2017
"168","Newton","Goodwood Park","Central Region",1060,340,110,620,31.7754039681872,10.2802777544135,57.9433837066943,2017
"169","Newton","Istana Negara","Central Region",50,0,0,0,0,0,0,2017
"170","Newton","Monk's Hill","Central Region",930,250,140,540,26.8814313824583,15.0536015741766,58.0638917861098,2017
"171","Newton","Newton Circus","Central Region",230,70,30,150,27.9988800447982,11.9995200191992,59.9976000959962,2017
"172","Newton","Orange Grove","Central Region",1480,340,260,920,22.3682738929349,17.1051506240091,60.5259175926474,2017
"173","North-Eastern Islands","North-Eastern Islands",NA,50,0,0,0,0,0,0,2017
"174","Novena","Balestier","Central Region",32470,7580,5680,19210,23.3446186188424,17.4930651391854,59.1622854443223,2017
"175","Novena","Dunearn","Central Region",3890,1130,720,2070,28.8264570753646,18.3673000834182,52.8059877398272,2017
"176","Novena","Malcolm","Central Region",2690,800,450,1460,29.5201862723754,16.6051047782111,53.8743399470851,2017
"177","Novena","Moulmein","Central Region",8870,2740,920,5210,30.8906077896192,10.3720288928648,58.7372505780715,2017
"178","Novena","Mount Pleasant","Central Region",680,180,110,370,27.2723140558476,16.6664141452402,56.0597566703535,2017
"179","Orchard","Boulevard","Central Region",440,90,80,280,19.9995555654319,17.7773827248283,62.2208395368992,2017
"180","Orchard","Somerset","Central Region",110,30,10,70,27.2702481592582,9.09008271975275,63.6305790382692,2017
"181","Orchard","Tanglin","Central Region",410,110,70,240,26.1898526225566,16.6662698507178,57.1414966310326,2017
"182","Outram","China Square","Central Region",1500,210,430,880,13.8156985809304,28.2892875704765,57.8943559581845,2017
"183","Outram","Chinatown","Central Region",11320,2600,2040,6680,22.9681775899491,18.0211854936524,59.0105485772539,2017
"184","Outram","Pearl's Hill","Central Region",7710,1330,2160,4200,17.2951660661039,28.0883900020936,54.6163138929598,2017
"185","Outram","People's Park","Central Region",320,30,60,230,9.37470704040499,18.74941408081,71.8727539764382,2017
"186","Pasir Ris","Flora Drive","East Region",14510,4340,1460,8740,29.8486727313117,10.041258568598,60.1099999243467,2017
"187","Pasir Ris","Loyang East","East Region",2150,590,290,1270,27.4417328291496,13.4883093567007,59.0694927000339,2017
"188","Pasir Ris","Loyang West","East Region",210,0,180,20,0,89.9955002249888,9.99950002499875,2017
"189","Pasir Ris","Pasir Ris Central","East Region",28670,9040,2330,17310,31.5202121617112,8.1241254797331,60.3556274910643,2017
"190","Pasir Ris","Pasir Ris Drive","East Region",56970,17860,5650,33450,31.3553315738533,9.91923983159413,58.7254110383759,2017
"191","Pasir Ris","Pasir Ris Park","East Region",6680,2260,290,4130,33.8322846822086,4.3413108663011,61.8262547511156,2017
"192","Pasir Ris","Pasir Ris Wafer Fab Park","East Region",30,0,0,0,0,0,0,2017
"193","Pasir Ris","Pasir Ris West","East Region",35750,12060,2780,20920,33.7248227838862,7.77404704305172,58.501102208864,2017
"194","Paya Lebar","Airport Road",NA,0,0,0,0,0,0,0,2017
"195","Paya Lebar","Paya Lebar East",NA,10,0,0,0,0,0,0,2017
"196","Paya Lebar","Paya Lebar North",NA,30,0,0,0,0,0,0,2017
"197","Paya Lebar","Paya Lebar West",NA,0,0,0,0,0,0,0,2017
"198","Paya Lebar","Plab",NA,0,0,0,0,0,0,0,2017
"199","Pioneer","Benoi Sector",NA,10,0,0,0,0,0,0,2017
"200","Pioneer","Gul Basin",NA,20,0,0,0,0,0,0,2017
"201","Pioneer","Gul Circle",NA,40,0,0,0,0,0,0,2017
"202","Pioneer","Joo Koon",NA,30,0,0,0,0,0,0,2017
"203","Pioneer","Pioneer Sector",NA,0,0,0,0,0,0,0,2017
"204","Punggol","Coney Island","North East Region",0,0,0,0,0,0,0,2017
"205","Punggol","Matilda","North East Region",42490,14400,2400,25710,33.8743745296696,5.64572908827827,60.4798728581809,2017
"206","Punggol","Northshore","North East Region",290,90,40,170,29.9990000333322,13.3328889037032,56.6647778407386,2017
"207","Punggol","Punggol Canal","North East Region",0,0,0,0,0,0,0,2017
"208","Punggol","Punggol Field","North East Region",48440,16070,3890,28470,33.1819051864743,8.03220978067112,58.7858643845004,2017
"209","Punggol","Punggol Town Centre","North East Region",14560,4800,650,9120,32.944383703237,4.46121862648001,62.5943290361503,2017
"210","Punggol","Waterway East","North East Region",40860,13620,2460,24790,33.3251692377858,6.0190834306133,60.655722863782,2017
"211","Queenstown","Commonwealth","Central Region",7710,1480,1760,4470,19.1958246487359,22.8274671498481,57.9765784998982,2017
"212","Queenstown","Dover","Central Region",11710,3090,2000,6640,26.3426885399075,17.0502838446003,56.606942364073,2017
"213","Queenstown","Ghim Moh","Central Region",11730,2690,2740,6310,22.9130980297291,23.3389920451516,53.7478247463162,2017
"214","Queenstown","Holland Drive","Central Region",13610,2500,3380,7710,18.3958657867066,24.8712105436273,56.732850086203,2017
"215","Queenstown","Kent Ridge","Central Region",940,210,150,600,21.8747721377902,15.6248372412787,62.4993489651149,2017
"216","Queenstown","Margaret Drive","Central Region",14320,3900,1870,8560,27.2156125501657,13.0495372996948,59.7347803665175,2017
"217","Queenstown","Mei Chin","Central Region",16250,3870,2990,9400,23.8007233697888,18.3886725776921,57.8105425519419,2017
"218","Queenstown","National University Of S'pore","Central Region",230,100,0,130,43.4763705925829,0,56.5192817703578,2017
"219","Queenstown","One North","Central Region",610,160,30,410,26.6662222296295,4.99991666805553,68.3321944634256,2017
"220","Queenstown","Pasir Panjang 1","Central Region",4250,1120,500,2640,26.2910180962017,11.73706165009,61.9716855124753,2017
"221","Queenstown","Pasir Panjang 2","Central Region",3330,850,470,2020,25.4490256017198,14.071814156245,60.478860841734,2017
"222","Queenstown","Port","Central Region",120,20,20,80,16.6652778935089,16.6652778935089,66.6611115740355,2017
"223","Queenstown","Queensway","Central Region",280,60,40,180,21.4278061497804,14.2852040998536,64.2834184493411,2017
"224","Queenstown","Singapore Polytechnic","Central Region",130,50,0,100,33.3311112592494,0,66.6622225184988,2017
"225","Queenstown","Tanglin Halt","Central Region",12370,2450,2750,7160,19.8219904352828,22.2491729375623,57.9287557210714,2017
