month,category,number_of_tankers,gross_tonnage
2016-10,LNG & LPG Tankers,256,11728.061
2016-11,Oil Tankers,1417,55830.681
2016-11,Chemical Tankers,380,4436.1
2016-11,LNG & LPG Tankers,246,10865.12
2016-12,Oil Tankers,1460,61531.644
2016-12,Chemical Tankers,358,4230.239
2016-12,LNG & LPG Tankers,221,9702.279
2017-01,Oil Tankers,1429,60999.59
2017-01,Chemical Tankers,441,5365.98
2017-01,LNG & LPG Tankers,227,8330.77
2017-02,Oil Tankers,1299,53534.18
2017-02,Chemical Tankers,373,4346.5
2017-02,LNG & LPG Tankers,195,6539.38
2017-03,Oil Tankers,1538,64618.23
2017-03,Chemical Tankers,434,5218.77
2017-03,LNG & LPG Tankers,221,7334.09
2017-04,Oil Tankers,1397,55965.62
2017-04,Chemical Tankers,429,4905.75
2017-04,LNG & LPG Tankers,213,9287.45
2017-05,Oil Tankers,1397,57930.02
2017-05,Chemical Tankers,408,4720.4
2017-05,LNG & LPG Tankers,244,10423.67
2017-06,Oil Tankers,1405,57370.79
2017-06,Chemical Tankers,407,4877.47
2017-06,LNG & LPG Tankers,229,10258.61
2017-07,Oil Tankers,1432,61879.45
2017-07,Chemical Tankers,377,4424.36
2017-07,LNG & LPG Tankers,228,11161.84
2017-08,Oil Tankers,1355,58959
2017-08,Chemical Tankers,391,4855.05
2017-08,LNG & LPG Tankers,245,10725.54
2017-09,Oil Tankers,1381,57433.309
2017-09,Chemical Tankers,393,4663.04
2017-09,LNG & LPG Tankers,229,10291.072
2017-10,Oil Tankers,1385,56873.706
2017-10,Chemical Tankers,372,4224.77
2017-10,LNG & LPG Tankers,256,11728.061
2017-11,Oil Tankers,1417,55830.681
2017-11,Chemical Tankers,380,4436.1
2017-11,LNG & LPG Tankers,246,10865.12
2017-12,Oil Tankers,1460,61531.644
2017-12,Chemical Tankers,358,4230.239
2017-12,LNG & LPG Tankers,221,4230.239
2018-01,Oil Tankers,1420,55379.324
2018-01,Chemical Tankers,390,4614.011
2018-01,LNG & LPG Tankers,253,12416.57
2018-02,Oil Tankers,1305,53620.43
2018-02,Chemical Tankers,327,3953.37
2018-02,LNG & LPG Tankers,246,12828.45
2018-03,Oil Tankers,1450,56827.877
2018-03,Chemical Tankers,378,4542.66
2018-03,LNG & LPG Tankers,281,14839.369
2018-04,Oil Tankers,1422,60071.65
2018-04,Chemical Tankers,376,4841.06
2018-04,LNG & LPG Tankers,257,13360.68
2018-05,Oil Tankers,1419,57303.994
2018-05,Chemical Tankers,367,4377.465
2018-05,LNG & LPG Tankers,221,10570.23
2018-06,Oil Tankers,1355,54990.035
2018-06,Chemical Tankers,352,4345.863
2018-06,LNG & LPG Tankers,230,10328.781
2018-07,Oil Tankers,1400,55172.954
2018-07,Chemical Tankers,363,4312.263
2018-07,LNG & LPG Tankers,244,11332.803
2018-08,Oil Tankers,1319,52630.0
2018-08,Chemical Tankers,400,5126.6
2018-08,LNG & LPG Tankers,213,9826.4
